question,answer
What is the capital of Japan?,The capital of Japan is Tokyo.
Who is the current Prime Minister of the United Kingdom?,The current Prime Minister of the United Kingdom is Boris Johnson.
What is the largest mammal on Earth?,The largest mammal on Earth is the blue whale.
What is the main ingredient in pizza?,The main ingredient in pizza is cheese.
What is the chemical symbol for oxygen?,The chemical symbol for oxygen is O2.
What is the boiling point of water in Celsius?,The boiling point of water in Celsius is 100 degrees.
Who is the author of "The Great Gatsby"?,The author of "The Great Gatsby" is F. Scott Fitzgerald.
What is the capital of Australia?,The capital of Australia is Canberra.
What is the tallest building in the world?,The tallest building in the world is the Burj Khalifa.
Who discovered penicillin?,Penicillin was discovered by Alexander Fleming.
What is the largest planet in our solar system?,The largest planet in our solar system is Jupiter.
What is the currency of India?,The currency of India is the Indian Rupee.F
What is the speed of light in a vacuum?,The speed of light in a vacuum is approximately 299/792/458 meters per second.
What is the national animal of Australia?,The national animal of Australia is the kangaroo.
Who painted the famous painting "Starry Night"?,The famous painting "Starry Night" was painted by Vincent van Gogh.
What is the chemical symbol for gold?,The chemical symbol for gold is Au.
What is the most widely spoken language in the world?,The most widely spoken language in the world is Mandarin Chinese.
What is the capital of Brazil?,The capital of Brazil is Brasília.
What is the largest ocean on Earth?,The largest ocean on Earth is the Pacific Ocean.
Who wrote the play "Romeo and Juliet"?,The play "Romeo and Juliet" was written by William Shakespeare.
What is the chemical symbol for hydrogen?,The chemical symbol for hydrogen is H.
What is the distance from the Earth to the Sun in kilometers?,The average distance from the Earth to the Sun is about 149600000 kilometers.
What is the national flower of Japan?,The national flower of Japan is the cherry blossom.
Who is credited with inventing the telephone?,The telephone was invented by Alexander Graham Bell.
What is the boiling point of water in Fahrenheit?,The boiling point of water in Fahrenheit is 212 degrees.
What is the capital of France?,The capital of France is Paris.
Who was the first person to walk on the moon?,The first person to walk on the moon was Neil Armstrong.
What is the chemical formula for water?,The chemical formula for water is H2O.
What is the largest animal on Earth?,The largest animal on Earth is the blue whale.
What is the main ingredient in chocolate?,The main ingredient in chocolate is cocoa.
Who wrote the novel "To Kill a Mockingbird"?,The novel "To Kill a Mockingbird" was written by Harper Lee.
What is the atomic number of carbon?,The atomic number of carbon is 6.
What is the capital of China?,The capital of China is Beijing.
What is the largest desert in the world?,The largest desert in the world is the Sahara Desert.
Who painted the Mona Lisa?,The Mona Lisa was painted by Leonardo da Vinci.
What is the chemical symbol for silver?,The chemical symbol for silver is Ag.
What is the most populous country in the world?,The most populous country in the world is China.
What is the capital of Canada?,The capital of Canada is Ottawa.
What is the smallest country in the world?,The smallest country in the world is Vatican City.
Who wrote the Harry Potter series?,The Harry Potter series was written by J.K. Rowling.
What is the chemical symbol for sodium?,The chemical symbol for sodium is Na.
What is the distance around the Earth at the equator in kilometers?,The distance around the Earth at the equator is approximately 40075 kilometers.
What is the national animal of Canada?,The national animal of Canada is the beaver.
What is the chemical symbol for iron?,The chemical symbol for iron is Fe.
What is the capital of Italy?,The capital of Italy is Rome.
Who discovered gravity?,Gravity was discovered by Sir Isaac Newton.
default ?,sorry please specify question properly
